1	Mewtwo	1873	415	318	278	406	358
2	Dragonite	1693	385	366	288	298	258
3	Mew	1693	403	298	298	298	298
4	Moltres	1683	383	298	278	348	278
5	Zapdos	1673	383	278	268	348	298
6	Articuno	1663	383	268	298	348	268
7	Cloyster	1653	303	288	458	268	238
8	Gyarados	1653	393	348	256	298	260
9	Arcanine	1603	383	318	258	258	288
10	Exeggutor	1603	393	288	268	348	208
11	Lapras	1593	463	268	258	288	218
12	Tauros	1593	353	298	288	238	318
13	Aerodactyl	1573	363	308	228	218	358
14	Rhydon	1573	413	358	338	188	178
15	Starmie	1563	323	248	268	298	328
16	Tentacruel	1563	363	238	228	338	298
17	Flareon	1553	333	358	218	318	228
18	Jolteon	1553	333	228	218	318	358
19	Kabutops	1553	323	328	308	238	258
20	Pinsir	1553	333	348	298	208	268
21	Snorlax	1553	523	318	228	228	158
22	Vaporeon	1553	463	228	218	318	228
23	Blastoise	1543	361	264	298	268	254
24	Charizard	1543	359	266	254	268	298
25	Gengar	1543	323	228	218	358	318
26	Kingler	1543	313	358	328	198	248
27	Omastar	1543	343	218	348	328	208
28	Venusaur	1543	363	262	264	298	258
29	Ninetales	1541	349	250	248	298	298
30	Golem	1533	363	318	358	208	188
31	Machamp	1533	383	358	258	228	208
32	Rapidash	1533	333	298	238	258	308
33	Scyther	1533	343	318	258	208	308
34	Victreebel	1533	363	308	228	298	238
35	Weezing	1533	333	278	338	268	218
36	Chansey	1523	703	108	108	308	198
37	Hypno	1513	373	244	238	328	232
38	Kangaskhan	1513	413	288	258	178	278
39	Nidoking	1513	365	282	252	248	268
40	Nidoqueen	1513	383	262	272	248	250
41	Poliwrath	1513	383	268	288	238	238
42	Alakazam	1503	313	198	188	368	338
43	Dewgong	1503	383	238	258	288	238
44	Golduck	1503	363	262	254	258	268
45	Sandslash	1503	353	298	318	208	228
46	Dodrio	1493	323	318	238	218	298
47	Electrode	1493	323	198	238	258	378
48	Muk	1493	413	308	248	228	198
49	Pidgeot	1491	369	258	248	238	280
50	Electabuzz	1483	333	264	212	268	308
51	Magmar	1483	333	288	212	268	284
52	Magneton	1483	303	218	288	338	238
53	Raichu	1483	323	278	208	278	298
54	Seadra	1483	313	228	288	288	268
55	Tangela	1483	333	208	328	298	218
56	Golbat	1473	353	258	238	248	278
57	Slowbro	1473	393	248	318	258	158
58	Vileplume	1473	353	258	268	298	198
59	Primeape	1463	333	308	218	218	288
60	Seaking	1463	363	282	228	258	234
61	Clefable	1459	393	238	244	268	218
62	Fearow	1455	333	278	228	220	298
63	Persian	1443	333	238	218	228	328
64	Venomoth	1443	343	228	218	278	278
65	Arbok	1411	323	268	236	228	258
66	Dugtrio	1403	273	258	198	238	338
67	Dragonair	1393	325	266	228	238	238
68	Haunter	1393	293	198	188	328	288
69	Wigglytuff	1393	483	238	188	198	188
70	Graveler	1383	313	288	328	188	168
71	Hitmonchan	1383	303	308	256	168	250
72	Hitmonlee	1383	303	338	204	168	272
73	Machoke	1383	363	298	238	198	188
74	Marowak	1383	323	258	318	198	188
75	Parasect	1383	323	288	258	258	158
76	Ponyta	1383	303	268	208	228	278
77	Weepinbell	1383	333	278	198	268	208
78	Raticate	1379	313	260	218	198	292
79	Jynx	1373	333	198	168	288	288
80	Mr. Mime	1373	283	188	228	298	278
81	Onix	1373	273	188	418	158	238
82	Poliwhirl	1363	333	228	228	198	278
83	Kadabra	1353	283	168	158	338	308
84	Charmeleon	1343	319	226	214	228	258
85	Ivysaur	1343	323	222	224	258	218
86	Wartortle	1343	321	224	258	228	214
87	Gloom	1333	323	228	238	268	178
88	Rhyhorn	1323	363	268	288	158	148
89	Lickitung	1313	383	208	248	218	158
90	Nidorina	1313	343	222	232	208	210
91	Nidorino	1313	325	242	212	208	228
92	Porygon	1313	333	218	238	248	178
93	Beedrill	1303	333	258	178	188	248
94	Butterfree	1303	323	188	198	258	238
95	Kabuto	1293	263	258	278	188	208
96	Krabby	1293	263	308	278	148	198
97	Omanyte	1293	273	178	298	278	168
98	Pidgeotto	1291	329	218	208	198	240
99	Koffing	1283	283	228	288	218	168
100	Farfetch'd	1273	307	228	208	214	218
101	Drowzee	1263	323	194	188	278	182
102	Goldeen	1263	293	232	218	198	224
103	Staryu	1263	263	188	208	238	268
104	Tentacool	1263	283	178	168	298	238
105	Eevee	1253	313	208	198	228	208
106	Exeggcute	1253	323	178	258	218	178
107	Growlithe	1253	313	238	188	198	218
108	Sandshrew	1253	303	248	268	158	178
109	Seel	1253	333	188	208	238	188
110	Shellder	1253	263	228	298	188	178
111	Doduo	1243	273	268	188	168	248
112	Gastly	1243	263	168	158	298	258
113	Grimer	1243	363	258	198	178	148
114	Slowpoke	1243	383	228	228	178	128
115	Voltorb	1243	283	158	198	208	298
116	Bellsprout	1233	303	248	168	238	178
117	Cubone	1233	303	198	288	178	168
118	Geodude	1233	283	258	298	158	138
119	Horsea	1233	263	178	238	238	218
120	Machop	1233	343	258	198	168	168
121	Magnemite	1233	253	168	238	288	188
122	Mankey	1213	283	258	168	168	238
123	Pikachu	1213	273	208	158	198	278
